"","Taxonomy","BJA5","BJI5","BJN4","BJU2","CCA1","CCI2","CCN1","CCU4","CDA4","CDI2","CDN2","CDU1","CSA2","CSI2","CSN3","CSU3","FZA2","FZI2","FZN1","FZU5","GYA1","GYI1","GYN3","GYU3","GZA3","GZI2","GZN5","GZU4","HEBA3","HEBI2","HEBN3","HEBU4","HFA5","HFI5","HFN2","HFU5","HHHTA3","HHHTI1","HHHTN5","HHHTU2","HZA2","HZI3","HZN4","HZU5","JNA5","JNI4","JNN1","JNU5","KMA2","KMI4","KMN1","KMU1","LZA2","LZI1","LZN5","LZU1","NJA5","NJI4","NJN2","NJU5","NNA4","NNI4","NNN3","NNU2","SHA1","SHI4","SHN4","SHU4","SJZA4","SJZI5","SJZN1","SJZU1","SYA4","SYI1","SYN4","SYU1","TJA3","TJI2","TJN1","TJU1","TYA1","TYI2","TYN3","TYU5","WHA5","WHI3","WHN5","WHU4","WLMQA2","WLMQI4","WLMQN2","WLMQU2","XAA1","XAI3","XAN1","XAU2","XNA3","XNI3","XNN1","XNU2","YCA4","YCI2","YCN3","YCU2","ZZA5","ZZI5","ZZN4","ZZU5","sum"
"Actinobacteriota","Actinobacteriota",0.234439834024896,0.235477178423237,0.215767634854772,0.210235131396957,0.220954356846473,0.339557399723375,0.302213001383126,0.33298755186722,0.162517289073306,0.179460580912863,0.0940525587828492,0.31881051175657,0.161825726141079,0.250691562932227,0.268326417704011,0.216459197786999,0.22372060857538,0.0376901798063624,0.215076071922545,0.288381742738589,0.18118948824343,0.244813278008299,0.145919778699862,0.163900414937759,0.218188105117566,0.0843706777316736,0.0719225449515906,0.267980636237898,0.269709543568465,0.361687413554633,0.270746887966805,0.289764868603043,0.138312586445367,0.128284923928077,0.153181189488243,0.206085753803596,0.244467496542185,0.294260027662517,0.353388658367912,0.29149377593361,0.0975103734439834,0.109612724757953,0.17911479944675,0.109612724757953,0.190525587828492,0.178769017980636,0.170124481327801,0.1932918395574,0.271092669432918,0.274204702627939,0.166666666666667,0.303250345781466,0.279045643153527,0.286652835408022,0.263485477178423,0.274204702627939,0.1649377593361,0.242392807745505,0.211618257261411,0.301867219917012,0.108229598893499,0.209889349930844,0.12448132780083,0.25207468879668,0.125864453665284,0.176348547717842,0.111687413554633,0.105809128630705,0.2216459197787,0.161479944674965,0.246196403872752,0.194674965421853,0.285269709543568,0.232365145228216,0.25,0.339557399723375,0.207814661134163,0.271092669432918,0.262448132780083,0.291839557399723,0.184993084370678,0.231673582295989,0.216804979253112,0.328838174273859,0.186721991701245,0.228907330567082,0.283886583679115,0.213692946058091,0.257952973720609,0.174273858921162,0.230982019363762,0.169087136929461,0.136929460580913,0.211272475795297,0.205739972337483,0.134508990318119,0.184647302904564,0.20850622406639,0.169087136929461,0.23686030428769,0.233748271092669,0.346473029045643,0.258298755186722,0.23686030428769,0.217150760719225,0.233748271092669,0.205394190871369,0.336791147994468,23.5988934993084
"Proteobacteria","Proteobacteria",0.164246196403873,0.143153526970954,0.156293222683264,0.192946058091286,0.320193637621023,0.231673582295989,0.258298755186722,0.337828492392808,0.137275242047026,0.208852005532503,0.247233748271093,0.184647302904564,0.260027662517289,0.116528354080221,0.206085753803596,0.19536652835408,0.167358229598893,0.38762102351314,0.179460580912863,0.224066390041494,0.232710926694329,0.177385892116183,0.236168741355463,0.163208852005533,0.132780082987552,0.181881051175657,0.175311203319502,0.204011065006916,0.243430152143845,0.237551867219917,0.338174273858921,0.315698478561549,0.173582295988935,0.151106500691563,0.140387275242047,0.201936376210235,0.239280774550484,0.292876901798064,0.198478561549101,0.311549100968188,0.166666666666667,0.178423236514523,0.242738589211618,0.158713692946058,0.199861687413555,0.201590594744122,0.188105117565698,0.184993084370678,0.172890733056708,0.161479944674965,0.215076071922545,0.166320885200553,0.234094052558783,0.2216459197787,0.132088520055325,0.374827109266943,0.130705394190871,0.176002766251729,0.188450899031812,0.191562932226833,0.155601659751037,0.177040110650069,0.232710926694329,0.152143845089903,0.178769017980636,0.171161825726141,0.354080221300138,0.172199170124481,0.169778699861687,0.138312586445367,0.177731673582296,0.156984785615491,0.232710926694329,0.316044260027663,0.239280774550484,0.260373443983403,0.147302904564315,0.177731673582296,0.210580912863071,0.198132780082988,0.155601659751037,0.196058091286307,0.170816044260028,0.154218533886584,0.176348547717842,0.163208852005533,0.200207468879668,0.142461964038728,0.125864453665284,0.15283540802213,0.111687413554633,0.173582295988935,0.180497925311203,0.129322268326418,0.10926694329184,0.158367911479945,0.165629322268326,0.177731673582296,0.107538035961272,0.176002766251729,0.109958506224066,0.11134163208852,0.125172890733057,0.142807745504841,0.161479944674965,0.192600276625173,0.176694329183956,0.239280774550484,20.9581604426003
"Acidobacteriota","Acidobacteriota",0.171507607192254,0.248616874135546,0.19432918395574,0.179460580912863,0.0677731673582296,0.114453665283541,0.104080221300138,0.0425311203319502,0.149377593360996,0.160442600276625,0.178769017980636,0.0491009681881051,0.198478561549101,0.202627939142462,0.112724757952974,0.168741355463347,0.0653526970954357,0.113416320885201,0.159405255878285,0.0860995850622407,0.141770401106501,0.186030428769018,0.188796680497925,0.240318118948824,0.119640387275242,0.0892116182572614,0.0421853388658368,0.0937067773167358,0.0985477178423236,0.0964730290456432,0.0950899031811895,0.0739972337482711,0.11134163208852,0.129322268326418,0.162171507607192,0.158022130013831,0.0878284923928077,0.024896265560166,0.0947441217150761,0.0708852005532503,0.149377593360996,0.269017980636238,0.149377593360996,0.248616874135546,0.172544951590595,0.204011065006916,0.215076071922545,0.166320885200553,0.0964730290456432,0.125172890733057,0.140041493775934,0.136583679114799,0.0646611341632089,0.0380359612724758,0.182918395573997,0.0428769017980636,0.1932918395574,0.164246196403873,0.178077455048409,0.0771092669432918,0.13969571230982,0.196749654218534,0.170816044260028,0.146265560165975,0.171507607192254,0.198478561549101,0.0895573997233748,0.241009681881051,0.18118948824343,0.171507607192254,0.195712309820194,0.218879668049793,0.0995850622406639,0.114799446749654,0.148686030428769,0.09716459197787,0.221300138312586,0.155255878284924,0.144536652835408,0.0999308437067773,0.216459197786999,0.135200553250346,0.212655601659751,0.138312586445367,0.168395573997234,0.188105117565698,0.0943983402489627,0.227178423236515,0.127593360995851,0.17911479944675,0.190179806362379,0.198132780082988,0.190179806362379,0.18015214384509,0.233402489626556,0.23789764868603,0.162863070539419,0.113070539419087,0.275242047026279,0.142116182572614,0.141770401106501,0.11134163208852,0.232365145228216,0.138312586445367,0.258644536652835,0.15179806362379,0.22268326417704,0.0618948824343015,16.2181881051176
"Planctomycetota","Planctomycetota",0.100968188105118,0.132088520055325,0.145573997233748,0.139349930843707,0.0297372060857538,0.0459889349930844,0.0477178423236514,0.0677731673582296,0.152489626556017,0.171853388658368,0.217842323651452,0.132434301521438,0.146611341632089,0.124827109266943,0.169432918395574,0.160442600276625,0.088865836791148,0.029045643153527,0.154564315352697,0.0995850622406639,0.134854771784232,0.119640387275242,0.146611341632089,0.167704011065007,0.103734439834025,0.0466804979253112,0.0508298755186722,0.117565698478562,0.0508298755186722,0.034923928077455,0.0618948824343015,0.039073305670816,0.148686030428769,0.154910096818811,0.154564315352697,0.104080221300138,0.063969571230982,0.0214384508990318,0.0522130013831259,0.0366528354080221,0.115145228215768,0.146265560165975,0.182918395573997,0.149031811894882,0.117911479944675,0.164246196403873,0.192946058091286,0.147648686030429,0.0950899031811895,0.163554633471646,0.181881051175657,0.139004149377593,0.0605117565698479,0.0411479944674965,0.133125864453665,0.0449515905947441,0.153181189488243,0.160096818810512,0.153526970954357,0.135546334716459,0.137966804979253,0.173582295988935,0.203319502074689,0.153181189488243,0.0625864453665284,0.159751037344398,0.126901798063624,0.177731673582296,0.141424619640387,0.114107883817427,0.152143845089903,0.132088520055325,0.0380359612724758,0.0494467496542185,0.114799446749654,0.0518672199170125,0.119640387275242,0.135546334716459,0.163208852005533,0.128630705394191,0.118603042876902,0.159751037344398,0.181535269709544,0.0964730290456432,0.117565698478562,0.138312586445367,0.226832641770401,0.130359612724758,0.13762102351314,0.166666666666667,0.111687413554633,0.171507607192254,0.163208852005533,0.151452282157676,0.167358229598893,0.168741355463347,0.143153526970954,0.149377593360996,0.0826417704011065,0.137275242047026,0.123098201936376,0.12655601659751,0.138312586445367,0.198824343015214,0.114799446749654,0.141770401106501,0.162171507607192,0.0729598893499308,13.3803596127248
"Chloroflexi","Chloroflexi",0.117565698478562,0.084716459197787,0.0771092669432918,0.106154910096819,0.0667358229598893,0.0802213001383126,0.0376901798063624,0.100276625172891,0.171853388658368,0.0947441217150761,0.0653526970954357,0.149723374827109,0.0957814661134163,0.158367911479945,0.106154910096819,0.109612724757953,0.186721991701245,0.0280082987551867,0.0580912863070539,0.131742738589212,0.13762102351314,0.130359612724758,0.0701936376210235,0.0843706777316736,0.242738589211618,0.043222683264177,0.127593360995851,0.103388658367911,0.0947441217150761,0.0940525587828492,0.0404564315352697,0.0909405255878285,0.191562932226833,0.232019363762102,0.163208852005533,0.101313969571231,0.113762102351314,0.117911479944675,0.0802213001383126,0.0784923928077455,0.184993084370678,0.0836791147994467,0.12344398340249,0.0864453665283541,0.108921161825726,0.107192254495159,0.0708852005532503,0.10926694329184,0.181881051175657,0.13969571230982,0.13865836791148,0.124827109266943,0.136237897648686,0.148686030428769,0.155601659751037,0.0895573997233748,0.129322268326418,0.102005532503458,0.0563623789764869,0.131051175656985,0.191908713692946,0.0995850622406639,0.100276625172891,0.107883817427386,0.182918395573997,0.0978561549100968,0.0736514522821577,0.0975103734439834,0.105809128630705,0.0881742738589212,0.0885200553250346,0.104771784232365,0.0895573997233748,0.0743430152143845,0.0816044260027663,0.0829875518672199,0.109958506224066,0.117565698478562,0.0594744121715076,0.146265560165975,0.131742738589212,0.109612724757953,0.0784923928077455,0.0892116182572614,0.142807745504841,0.139004149377593,0.0788381742738589,0.107883817427386,0.173928077455048,0.176002766251729,0.107538035961272,0.149377593360996,0.133471645919779,0.170816044260028,0.0992392807745505,0.113762102351314,0.172199170124481,0.205394190871369,0.143499308437068,0.16804979253112,0.271784232365145,0.172544951590595,0.117911479944675,0.159059474412171,0.108921161825726,0.140387275242047,0.0943983402489627,0.156293222683264,12.7863070539419
"Firmicutes","Firmicutes",0.068118948824343,0.0293914246196404,0.0653526970954357,0.034923928077455,0.0809128630705394,0.0224757952973721,0.0646611341632089,0.016597510373444,0.0567081604426003,0.0497925311203319,0.0127939142461964,0.0487551867219917,0.0214384508990318,0.0138312586445367,0.0518672199170125,0.0134854771784232,0.155601659751037,0.0497925311203319,0.0193637621023513,0.0397648686030429,0.0494467496542185,0.0172890733056708,0.0252420470262794,0.0127939142461964,0.0345781466113416,0.0715767634854772,0.0632780082987552,0.0829875518672199,0.0594744121715076,0.0242047026279391,0.0567081604426003,0.0560165975103734,0.0622406639004149,0.043222683264177,0.0380359612724758,0.0452973720608575,0.0636237897648686,0.0632780082987552,0.080567081604426,0.0439142461964039,0.0674273858921162,0.0518672199170125,0.0107192254495159,0.0359612724757953,0.0670816044260028,0.0162517289073306,0.0179806362378976,0.0771092669432918,0.0345781466113416,0.0127939142461964,0.0121023513139696,0.00933609958506224,0.0418395573997234,0.0684647302904564,0.00656984785615491,0.0411479944674965,0.0411479944674965,0.016597510373444,0.00553250345781466,0.0121023513139696,0.0363070539419087,0.0193637621023513,0.0176348547717842,0.0280082987551867,0.0421853388658368,0.0176348547717842,0.114799446749654,0.0307745504840941,0.0439142461964039,0.0148686030428769,0.0172890733056708,0.0463347164591978,0.063969571230982,0.0307745504840941,0.0394190871369295,0.0376901798063624,0.047372060857538,0.0210926694329184,0.0286998616874136,0.0304287690179806,0.0446058091286307,0.0497925311203319,0.029045643153527,0.0356154910096819,0.034923928077455,0.0110650069156293,0.0141770401106501,0.0376901798063624,0.0449515905947441,0.00691562932226833,0.110995850622407,0.0238589211618257,0.0421853388658368,0.0145228215767635,0.0183264177040111,0.0439142461964039,0.0325034578146611,0.0172890733056708,0.0318118948824343,0.0394190871369295,0.0107192254495159,0.00726141078838174,0.00933609958506224,0.0179806362378976,0.0121023513139696,0.020746887966805,0.0169432918395574,0.0719225449515906,4.13520055325034
"Myxococcota","Myxococcota",0.0228215767634855,0.0228215767634855,0.0221300138312586,0.039073305670816,0.103734439834025,0.039073305670816,0.0276625172890733,0.0242047026279391,0.029045643153527,0.0293914246196404,0.0231673582295989,0.012448132780083,0.0259336099585062,0.0266251728907331,0.0117565698478562,0.0397648686030429,0.0359612724757953,0.0020746887966805,0.029045643153527,0.0100276625172891,0.0224757952973721,0.0245504840940526,0.0193637621023513,0.0293914246196404,0.0411479944674965,0.00795297372060857,0.00622406639004149,0.016597510373444,0.059820193637621,0.0369986168741355,0.0459889349930844,0.0352697095435685,0.0508298755186722,0.0418395573997234,0.0280082987551867,0.0363070539419087,0.0587828492392808,0.0138312586445367,0.043222683264177,0.039073305670816,0.0466804979253112,0.0325034578146611,0.0159059474412171,0.0394190871369295,0.0318118948824343,0.0359612724757953,0.0335408022130014,0.0397648686030429,0.0269709543568465,0.0446058091286307,0.0114107883817427,0.0259336099585062,0.0356154910096819,0.0397648686030429,0.0235131396957123,0.0394190871369295,0.0359612724757953,0.04149377593361,0.0328492392807746,0.0463347164591978,0.0418395573997234,0.0304287690179806,0.0238589211618257,0.0311203319502075,0.0618948824343015,0.039073305670816,0.0183264177040111,0.0342323651452282,0.0311203319502075,0.0283540802213001,0.0286998616874136,0.0401106500691563,0.0587828492392808,0.0549792531120332,0.0217842323651452,0.039073305670816,0.0401106500691563,0.0273167358229599,0.024896265560166,0.0224757952973721,0.0297372060857538,0.0359612724757953,0.033195020746888,0.0159059474412171,0.0449515905947441,0.0366528354080221,0.012448132780083,0.0342323651452282,0.0200553250345781,0.0273167358229599,0.0138312586445367,0.0221300138312586,0.0307745504840941,0.0245504840940526,0.0242047026279391,0.0283540802213001,0.024896265560166,0.0145228215767635,0.0145228215767635,0.016597510373444,0.0231673582295989,0.00864453665283541,0.0245504840940526,0.0280082987551867,0.0273167358229599,0.0401106500691563,0.0352697095435685,0.0145228215767635,3.31881051175657
"Verrucomicrobiota","Verrucomicrobiota",0.0117565698478562,0.00726141078838174,0.0477178423236514,0.0141770401106501,0.0117565698478562,0.0114107883817427,0.0829875518672199,0.00380359612724758,0.0242047026279391,0.0214384508990318,0.0622406639004149,0.0131396957123098,0.0280082987551867,0.00795297372060857,0.0238589211618257,0.024896265560166,0.0190179806362379,0.00276625172890733,0.121369294605809,0.0442600276625173,0.0297372060857538,0.0145228215767635,0.0926694329183956,0.0214384508990318,0.0117565698478562,0.00933609958506224,0.0110650069156293,0.0446058091286307,0.00968188105117566,0.00968188105117566,0.020746887966805,0.00311203319502075,0.024896265560166,0.0228215767634855,0.0788381742738589,0.0117565698478562,0.00933609958506224,0.00311203319502075,0.0141770401106501,0.0103734439834025,0.0255878284923928,0.0141770401106501,0.04149377593361,0.0255878284923928,0.0172890733056708,0.0176348547717842,0.0380359612724758,0.0190179806362379,0.0224757952973721,0.0238589211618257,0.102005532503458,0.0197095435684647,0.00760719225449516,0.00449515905947441,0.0228215767634855,0.00311203319502075,0.00933609958506224,0.0338865836791148,0.0933609958506224,0.0200553250345781,0.0269709543568465,0.0224757952973721,0.0504840940525588,0.0283540802213001,0.0159059474412171,0.0286998616874136,0.0183264177040111,0.0172890733056708,0.0159059474412171,0.213001383125864,0.0276625172890733,0.0193637621023513,0.0103734439834025,0.0138312586445367,0.0273167358229599,0.0117565698478562,0.0145228215767635,0.0152143845089903,0.034923928077455,0.0100276625172891,0.0141770401106501,0.024896265560166,0.0255878284923928,0.033195020746888,0.0155601659751037,0.00933609958506224,0.0152143845089903,0.0121023513139696,0.0103734439834025,0.0280082987551867,0.0397648686030429,0.0186721991701245,0.0214384508990318,0.012448132780083,0.0231673582295989,0.0224757952973721,0.0190179806362379,0.0155601659751037,0.0342323651452282,0.0204011065006916,0.00864453665283541,0.0114107883817427,0.0224757952973721,0.0145228215767635,0.0172890733056708,0.0138312586445367,0.0159059474412171,0.00553250345781466,2.74688796680498
"Gemmatimonadota","Gemmatimonadota",0.0228215767634855,0.0297372060857538,0.0183264177040111,0.0242047026279391,0.0376901798063624,0.0525587828492393,0.0169432918395574,0.0210926694329184,0.0155601659751037,0.0242047026279391,0.0100276625172891,0.0204011065006916,0.00864453665283541,0.0197095435684647,0.00864453665283541,0.0134854771784232,0.00622406639004149,0.000345781466113416,0.00933609958506224,0.0138312586445367,0.020746887966805,0.0245504840940526,0.00656984785615491,0.0110650069156293,0.0190179806362379,0.00242047026279391,0.00138312586445367,0.00864453665283541,0.0446058091286307,0.0484094052558783,0.0297372060857538,0.0276625172890733,0.0114107883817427,0.0114107883817427,0.00829875518672199,0.0376901798063624,0.0286998616874136,0.0691562932226833,0.0318118948824343,0.0477178423236514,0.0179806362378976,0.0131396957123098,0.00622406639004149,0.0138312586445367,0.0117565698478562,0.00968188105117566,0.0190179806362379,0.0152143845089903,0.0131396957123098,0.00829875518672199,0.00518672199170124,0.0121023513139696,0.0601659751037344,0.0816044260027663,0.0335408022130014,0.0352697095435685,0.0179806362378976,0.0131396957123098,0.00656984785615491,0.0238589211618257,0.0121023513139696,0.0159059474412171,0.00864453665283541,0.0131396957123098,0.0127939142461964,0.00864453665283541,0.0297372060857538,0.012448132780083,0.0152143845089903,0.012448132780083,0.0134854771784232,0.0121023513139696,0.0615491009681881,0.0300829875518672,0.0131396957123098,0.0311203319502075,0.0148686030428769,0.0325034578146611,0.0134854771784232,0.0286998616874136,0.0273167358229599,0.0162517289073306,0.00622406639004149,0.0217842323651452,0.0328492392807746,0.0269709543568465,0.004149377593361,0.0186721991701245,0.0311203319502075,0.0245504840940526,0.0262793914246196,0.0228215767634855,0.00760719225449516,0.0266251728907331,0.016597510373444,0.0145228215767635,0.0210926694329184,0.0321576763485477,0.0293914246196404,0.0186721991701245,0.0363070539419087,0.0286998616874136,0.020746887966805,0.016597510373444,0.0121023513139696,0.0259336099585062,0.0172890733056708,0.0134854771784232,2.27143845089903
