subtype,Type,BJA5 ,BJI5 ,BJN4 ,BJU2 ,CCA1 ,CCI2 ,CCN1 ,CCU4 ,CDA4 ,CDI2 ,CDN2 ,CDU1 ,CSA2 ,CSI2 ,CSN3 ,CSU3 ,FZA2 ,FZI2 ,FZN1 ,FZU5 ,GYA1 ,GYI1 ,GYN3 ,GYU3 ,GZA3 ,GZI2 ,GZN5 ,GZU4 ,HEBA3 ,HEBI2 ,HEBN3 ,HEBU4 ,HFA5 ,HFI5 ,HFN2 ,HFU5 ,HHHTA3 ,HHHTI1 ,HHHTN5 ,HHHTU2 ,HZA2 ,HZI3 ,HZN4 ,HZU5 ,JNA5 ,JNI4 ,JNN1 ,JNU5 ,KMA2 ,KMI4 ,KMN1 ,KMU1 ,LZA2 ,LZI1 ,LZN5 ,LZU1 ,NJA5 ,NJI4 ,NJN2 ,NJU5 ,NNA4 ,NNI4 ,NNN3 ,NNU2 ,SHA1 ,SHI4 ,SHN4 ,SHU4 ,SJZA4 ,SJZI5 ,SJZN1 ,SJZU1 ,SYA4 ,SYI1 ,SYN4 ,SYU1 ,TJA3 ,TJI2 ,TJN1 ,TJU1 ,TYA1 ,TYI2 ,TYN3 ,TYU5 ,WHA5 ,WHI3 ,WHN5 ,WHU4 ,WLMQA2 ,WLMQI4 ,WLMQN2 ,WLMQU2 ,XAA1 ,XAI3 ,XAN1 ,XAU2 ,XNA3,XNI3 ,XNN1 ,XNU2 ,YCA4 ,YCI2 ,YCN3 ,YCU2 ,ZZA5,ZZI5 ,ZZN4 ,ZZU5 
catB8,Chloramphenicol,0,0,0,3.51E-05,0,0,0,4.25E-05,0,0,0,0.000306589,3.03E-05,0,0,5.20E-05,0.000105792,0,0,0.001092837,0,0,0,0,4.31E-05,0,0,0.000147606,0,0,0,0.000177932,0,0,0,0,5.94E-05,0.000266526,0,0,0,0,0,9.25E-05,0.000126971,0,0,8.36E-05,0,0.00012889,0,0,0,0,0,0.000405176,0,0,0,4.05E-05,4.94E-05,5.61E-05,5.68E-05,0,5.63E-05,0,0,0,0,0,0,0,0,0,3.21E-05,4.15E-05,0,0,0,3.96E-05,0,0,0,9.87E-05,8.39E-05,6.21E-05,0.000120524,0,0,0,0,0,4.86E-05,0,0,0,5.12E-05,0.000106238,0,0.000139761,0,0,0,3.74E-05,0.000101495,0.000387503,3.52E-05,0.000803534
catB9,Chloramphenicol,0,0,0,0,0,0,0,6.66E-05,4.66E-05,0,0,4.78E-05,2.37E-05,0,0,0,0,0,0,0.000199376,3.86E-05,0,0,0,8.19E-05,0,0,9.21E-05,0,0,0,7.06E-05,0,0,0,0,0,0,0,4.94E-05,0,0,0,0,0,4.93E-05,0,0,4.05E-05,7.88E-05,0,4.57E-05,0,0,0,3.76E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73E-05,4.17E-05,0,4.14E-05,0,0,0,0,0,0,0,0,8.85E-05,0,4.51E-05,0,0,0,0,0,0,0,0,0,0,0,0,4.22E-05,0,0,0.000127022,0,0,0,6.52E-05,0,0,0,3.09E-05
cmlA1,Chloramphenicol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46E-05
cmlA4,Chloramphenicol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmlA5,Chloramphenicol,0,0,0,0,0,0,0,0,0,0,0,3.46E-05,0,0,0,0,0.000231201,0,0,0.000197873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000507654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000285547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37E-05,0,0,0,0,0,0,0,0.00039182
cmlA6,Chloramphenicol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.21E-05,0,0,0,0,0,0,0,0
cmlA8,Chloramphenicol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.96E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88E-05
floR,Forfenicol,6.88E-05,0.000115798,2.74E-05,0.000140221,0,0.000197507,2.73E-05,0.001314508,7.84E-05,0.000445236,0,0.000338964,0.000410927,0.000107624,2.09E-05,2.65E-05,0.003916034,2.61E-05,2.70E-05,0.001155117,0,8.54E-05,0,0.000156707,0.000131413,0,0,0.000962515,4.49E-05,6.24E-05,5.17E-05,0.001819334,0,0,0,2.78E-05,6.37E-05,0.000339633,2.79E-05,0.000968812,4.75E-05,0,3.03E-05,3.22E-05,0.000215343,8.20E-05,5.57E-05,0.00051511,0.000110681,0.000201445,0,0.000147372,0.000135802,0.000146399,0.000175511,0.00163603,0,9.60E-05,0,0.000128111,0,0.000289958,0,0.000163693,0,5.27E-05,0,0,0.00012355,0.000199995,0.000102457,0.00041088,0,8.02E-05,8.52E-05,3.92E-05,5.85E-05,0.0001228,2.73E-05,0.000116885,8.19E-05,0.000460052,0.000146034,0.000300958,4.36E-05,3.37E-05,0.000574422,0,5.70E-05,2.28E-05,0,0.000207779,0.000126246,0.000137658,0,7.70E-05,0.000104254,0.000350249,0,0.000834538,0.00014454,9.15E-05,9.20E-05,0.000132496,0.000100239,0.000313008,0.000111548,0.006667287
mdtE,Multidrug,0,0,0,1.07E-05,3.74E-05,0,0,4.99E-05,0,0,0,4.47E-06,5.43E-05,0,7.91E-06,0,2.32E-05,8.55E-06,0,2.13E-05,6.98E-06,8.56E-06,0,7.93E-06,1.76E-05,7.69E-06,0,0.000183681,6.69E-06,0,7.69E-06,0,0,3.90E-05,0,0,0,0,0,1.51E-05,0,7.70E-06,2.16E-05,0,1.41E-05,1.62E-05,0,2.50E-05,1.34E-05,0,0,1.44E-05,0,0,0,1.38E-05,0,2.81E-05,8.79E-06,0.000278996,6.02E-05,0,0,0,0,0,0,0,0,2.65E-05,2.34E-05,0.000124595,0,2.46E-05,6.69E-06,0,0,5.00E-05,0,5.94E-06,1.23E-05,1.38E-05,0,1.51E-05,0.000103802,4.15E-06,1.22E-05,0,3.47E-05,0,0,0,4.49E-05,0,0,3.02E-05,0,0,0,0,2.45E-05,0,0,0,7.46E-06,1.79E-05,0,7.69E-05
mdtL,Multidrug,0,0,0,1.89E-05,2.18E-05,0,0,0,0,0,0,0,4.79E-05,0,0,0,0,2.94E-05,0,0,1.85E-05,3.00E-05,0,0,5.01E-05,2.76E-05,0,0.000705005,0,0,0,0,0,0,0.00010006,0,0,0,0,0,0,0,3.01E-05,0,0,2.87E-05,0,2.27E-05,0,0,0,2.60E-05,0,0,0,4.80E-05,0,0,3.09E-05,0.00032791,8.00E-05,0,0,0,0,0,0,0,0,0,5.46E-05,2.41E-05,2.57E-05,0,0,0,0,0,0,0,0,0,0,0,0,3.48E-05,0,0,0,0,0,0,2.67E-05,0,0,0,0,0,0,0,0,0,0,0,0,2.08E-05,0,0.000194818
mepA,Multidrug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.76E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000141703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tolC,Multidrug,4.41E-06,2.66E-05,1.71E-05,1.61E-05,8.58E-05,1.36E-05,2.48E-05,0.000175854,1.50E-05,6.67E-05,0,5.75E-05,0.000193176,2.96E-05,0,8.39E-05,3.16E-05,0.000100197,8.00E-06,9.33E-05,5.79E-06,0,7.49E-06,3.19E-05,2.78E-05,2.19E-05,2.22E-05,0.000447878,1.34E-05,1.22E-05,7.57E-06,1.08E-05,2.00E-05,6.83E-05,7.66E-05,8.23E-06,3.56E-05,6.72E-06,8.26E-06,0.000120205,5.31E-05,3.97E-05,6.32E-05,5.24E-06,5.88E-05,0,2.47E-05,9.28E-05,2.63E-05,4.01E-05,9.46E-06,0.000114973,0,3.64E-05,7.55E-06,0.000151502,4.50E-05,0.000141068,8.16E-05,0.000324986,0.000148841,4.34E-05,0,5.63E-05,8.66E-06,1.56E-05,0,1.71E-05,2.25E-05,0.000149212,2.35E-05,0.000123321,2.15E-05,2.46E-05,1.02E-05,7.57E-05,0,6.58E-05,7.20E-05,4.08E-05,8.75E-05,8.99E-05,2.75E-05,5.10E-05,0.000173956,5.00E-05,0,0,1.10E-05,0.000108318,5.69E-06,4.17E-05,5.69E-05,1.37E-05,2.36E-05,1.40E-05,0,2.77E-05,0,5.32E-05,8.08E-05,0,6.81E-06,1.74E-05,6.73E-05,3.46E-05,5.52E-06,0.001035786
norA,Quinolone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QnrB1,Quinolone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000164574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QnrB11,Quinolone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.16E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QnrB2,Quinolone,0,0,0,0,0,0,0,0,0,0,0,0,2.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QnrB21,Quinolone,0,0,0,0,4.07E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QnrB30,Quinolone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QnrB31,Quinolone,0,0,0,0,3.78E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QnrB34,Quinolone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QnrB38,Quinolone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QnrB54,Quinolone,0,0,0,0,4.07E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QnrB57,Quinolone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QnrS9,Quinolone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfrA1,Trimethoprim,0,0,0,4.69E-05,0,0,0,0,7.06E-05,0,6.25E-05,6.53E-05,0,0,0,0.000135683,0.000140076,0,0,4.89E-05,0,0.000131616,0,0,0.000111467,0,0,0.000127992,0,4.67E-05,0,9.60E-05,0,0,0,0,0,5.84E-05,0,0,0,0,0,4.56E-05,0,0,0,5.59E-05,5.63E-05,0,0,0,0,0,0,0.000584949,0,6.37E-05,0.000209884,0.000169673,0,6.74E-05,0,0,0,0.000136421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.65E-05,0,0,0,0,0,0,0,0,0,0,0,0.000337562
dfrA12,Trimethoprim,0,0,0,0,0,0,0,0,0,0,0,0,3.77E-05,0,0,0,5.17E-05,0,0,0,0,0,0,0,0,0,0,6.35E-05,5.45E-05,0,0,4.66E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13E-05,0,0,0,0,0,6.12E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04E-05,0,0,7.42E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfrA14,Trimethoprim,0,0,0,4.84E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000198783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.98E-05
dfrA15,Trimethoprim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.86E-05,0,0,0,0,0,0,0.00142769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73E-05,0,0,0,0,0,0,0,0,0,5.28E-05,0,0.000150896
dfrA17,Trimethoprim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25E-05,0,0,0,9.79E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfrA5,Trimethoprim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000513349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62E-05
dfrB1,Trimethoprim,0,0,0,0,0.000111707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000113098,0,0,0,0,0.000150075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000264355,0,0,0,0,0,0,0,0,0,0,0,0.000155594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000117871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100809
vanYA,Vancomycin,2.03E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54E-05,0,0,0,0,0,0,0,0,0,3.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.23E-05,0,0,4.20E-05,3.53E-05,0,0,0,0,2.97E-05,0,0,0,0,0,3.60E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22E-05
SHV-121,Beta_lactam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHV-135,Beta_lactam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHV-137,Beta_lactam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHV-156,Beta_lactam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHV-22,Beta_lactam,0,0,0,2.89E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84E-05,0,5.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHV-25,Beta_lactam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHV-41,Beta_lactam,0,0,0,0,0,0,0,0,0,0,0,3.32E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14E-05,0,3.69E-05,2.42E-05,0,0,0,0,0,0,0,7.22E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000131332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05E-05,0,0,0,2.85E-05,0,0,0,0,3.08E-05,0,0,3.92E-05,0,0,0,0,0,0,0,0,0,0,0,2.32E-05,0,0,0,0,9.69E-05,0,2.42E-05,0
SHV-53,Beta_lactam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHV-9,Beta_lactam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82E-05,0,0,0,0,0,0,0,3.86E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
emrD,Multidrug,0,0,0,1.49E-05,2.21E-05,5.08E-05,0,0.000151316,0,0.000124252,0,0,4.77E-05,0,0,0.000106213,5.64E-05,8.59E-05,0,1.95E-05,0,2.85E-05,0,0,2.50E-05,2.79E-05,0,0.001133741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22E-05,0,0.000148188,8.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000519084,0.000157192,0,0,0,0,5.35E-05,0,0,0,3.23E-05,0,0.000351331,0,0,0,0,0,4.42E-05,0,2.07E-05,0,5.36E-05,0,4.99E-05,0.000178963,0,0,0,6.25E-05,0,0,0,5.23E-05,0,0,0.000103876,0,0,0,0,0,0,0,0,0,6.29E-05,0,0.000301473
mdtH,Multidrug,5.93E-05,0,0,0,0.000108372,0,0,0.000130995,0,5.29E-05,0,0,0.000218696,0,0.000107413,0,0,2.82E-05,5.43E-05,3.02E-05,0,0,0,0,4.84E-05,0.000107637,0,0.000853942,0,0,0,0,0,0,6.46E-05,5.77E-05,6.40E-05,0,0,0,0,0,6.09E-05,0,9.63E-05,7.91E-05,2.87E-05,0.00013198,0,0,0,0,0,0,0,0,0,4.89E-05,0.000150481,0.000757212,0.000229631,0,5.27E-05,0,0,5.30E-05,0,0,0,0.000235039,0.000127396,0.000107046,0,0,0,0,2.51E-05,8.63E-05,0,0,0.000172075,5.36E-05,0,5.22E-05,2.19E-05,0.000153563,0,0,0,0,0,4.67E-05,0.000102017,0,0,5.19E-05,0,0,0,1.68E-05,8.26E-05,0,0,0,5.30E-05,8.10E-05,0,0.000383206
mdtM,Multidrug,1.44E-05,0,0,0,0,0,0,4.24E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61E-05,0,5.07E-05,0,0,0,0,0,0,3.13E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27E-05,0,0,0,0.000124756,0,0.000114737,0,0,0,0,0,0,0,0,0,0,0,0,1.67E-05,0,0,0,0,0,0,0,0,0,0,0,2.03E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.38E-05
