"","BJA5","BJI5","BJN4","BJU2","CCA1","CCI2","CCN1","CCU4","CDA4","CDI2","CDN2","CDU1","CSA2","CSI2","CSN3","CSU3","FZA2","FZI2","FZN1","FZU5","GYA1","GYI1","GYN3","GYU3","GZA3","GZI2","GZN5","GZU4","HFA5","HFI5","HFN2","HFU5","HHHTA3","HHHTI1","HHHTN5","HHHTU2","HZA2","HZI3","HZN4","HZU5","JNA5","JNI4","JNN1","JNU5","KMA2","KMI4","KMN1","KMU1","LZA2","LZI1","LZN5","LZU1","HEBA3","HEBI2","HEBN3","HEBU4","NJA5","NJI4","NJN2","NJU5","NNA4","NNI4","NNN3","NNU2","SHA1","SHI4","SHN4","SHU4","SJZA4","SJZI5","SJZN1","SJZU1","SYA4","SYI1","SYN4","SYU1","TJA3","TJI2","TJN1","TJU1","TYA1","TYI2","TYN3","TYU5","WHA5","WHI3","WHN5","WHU4","WLMQA2","WLMQI4","WLMQN2","WLMQU2","XAA1","XAI3","XAN1","XAU2","XNA3","XNI3","XNN1","XNU2","YCA4","YCI2","YCN3","YCU2","ZZA5","ZZI5","ZZN4","ZZU5","Taxonomy"
"transposase",0.465601917592427,0.568122120868005,0.53717342220384,0.488447939195877,0.415322860886203,0.428442836402665,0.386686068064638,0.587923828124972,0.545969061208525,0.50269376238865,0.306650598593144,0.552617807444956,0.417417915196119,0.498940238313225,0.399068496174751,0.51649981925154,0.530013653479049,0.461690559583105,0.280543369386251,0.676967513270236,0.447073985797529,0.435857999730231,0.293516146158273,0.520899246718918,0.553133189913086,0.499950609077822,0.301553469482119,0.714912311691963,0.486613809085606,0.479560445814242,0.258199263224038,0.516162005975092,0.512602269662797,0.289131066661296,0.592172413660876,0.463964108732357,0.440740080116155,0.45999138367961,0.436144427775263,0.50734643286004,0.475218331404424,0.513405908348883,0.480944930511471,0.506719066390891,0.592307291556958,0.623091380004523,0.359279625585216,0.571681131277178,0.470676987328277,0.545800510385588,0.531801189628297,0.552106053553775,0.455511964706793,0.617672514397245,0.505520294788177,0.50912981582255,0.564956957243386,0.532563385624048,0.38110533318967,0.532502284230779,0.553872130857873,0.493214662792253,0.389303735509041,0.571769308551201,0.414822479185913,0.480243813456879,0.473473845347895,0.446801836392502,0.49485078294078,0.513512580906731,0.569503609724309,0.459240956588753,0.545303738780058,0.450674325998937,0.505933759769059,0.514974562067324,0.500201145607496,0.486230473016661,0.409777949620261,0.676166218658523,0.457303643753658,0.533005008533897,0.518728572583064,0.714590397232608,0.435770345408519,0.577890200844645,0.482779557444719,0.59748104682033,0.647647385747478,0.572478910467102,0.512247114333306,0.556016332850355,0.517933954766509,0.52281217574551,0.6220222292508,0.498332548649449,0.50609598700306,0.360084898077867,0.449056017152466,0.546148100596888,0.493695561997045,0.566833429944421,0.486967748896901,0.602747841607383,0.433034657267853,0.37023807779193,0.508971405746988,0.48392907186738,"transposase"
"insertion_element_IS91",0.392895585337028,0.376740869172559,0.349801945150816,0.430220813163278,0.40850934924977,0.276800133660843,0.398312632212187,0.305542074563067,0.318298756867018,0.348814460584177,0.494353103658125,0.316494413433116,0.406151778961226,0.35571697731287,0.36290834110689,0.376726277528359,0.232970986726447,0.408803449542993,0.408965181274174,0.215783937495076,0.385730698167474,0.294349272148597,0.442023646559028,0.373464239145198,0.308287393597316,0.285179405651959,0.566367556414234,0.139495959032195,0.40158506024763,0.440675012795194,0.495856238991726,0.339595590485986,0.426224308133087,0.531082508082951,0.295977713328161,0.418531125963091,0.454209844297786,0.323622715173532,0.393116714981668,0.301216753939703,0.375586036930369,0.340912970830923,0.348485540441518,0.377400401882476,0.300295942991329,0.278889390572791,0.460889729714691,0.29644101247149,0.458111227694694,0.380855046375136,0.382916328236807,0.257231448084286,0.377388459698472,0.317079366561701,0.315144017799103,0.325805338801535,0.319693529072907,0.370159869886943,0.449426241920577,0.352752918474969,0.294026401769129,0.41745066509708,0.457334640536845,0.266934353243031,0.360427877345458,0.325005379628244,0.356449123341264,0.36655389931855,0.413705532169704,0.381856014096648,0.337011954199495,0.435468960104191,0.344856188733141,0.308636022158044,0.37191452039264,0.388504505056555,0.432370120616682,0.411979758902531,0.407678112288405,0.251234678082409,0.454917181664134,0.34682219923333,0.389882017180894,0.17946701769509,0.307545691303971,0.290497153503534,0.366514374532261,0.279828509587862,0.29201224730556,0.288916575349069,0.402033227278419,0.353673113486644,0.359547077578942,0.417965022448348,0.286615873536846,0.362124594526078,0.413653515297682,0.504705130837345,0.349310140853974,0.332908112133892,0.389175752072623,0.411293776153923,0.338067085728525,0.318900794215479,0.360474352848722,0.528796089148864,0.343156661431201,0.357419284318341,"insertion_element_IS91"
"ISRj1",0.00675947201321102,0.000885857311005917,0.0419342383700203,0.00493947222708705,0.0417770146929415,0.247526704366668,0.182161329050237,0.000777909355108392,0.0280195372362082,0.0131234203315705,0.164430678274765,0.00100882184831066,0.0159053006460785,0.00403953653827607,0.165992740681732,0.00880847216871285,0.00894487394745156,0.040267331577561,0.275529983348642,0.00388400387849243,0.092333455787673,0.20234967687192,0.21877327626679,0.0060386213920474,0.0456799151031099,0.0138763553288652,0.0854219840372245,0.00142302484218989,0.00849789922947669,0.00497753450185192,0.206799965466875,0.0174176344708647,0.0061888676146617,0.0021705521879983,0.0862145507579079,0.00136179461848765,0.02140483435372,0.0249730075148272,0.0858728829612237,0.0259382558197535,0.00716087445247103,0.00966548742699142,0.119213777109373,0.00560853467498501,0.000492230464187652,0.0170114178699195,0.149085315997484,0.039323899705513,0.0053636536557268,0.00100948527616703,0.00425546450966106,0.000862049369213243,0.0701398914430522,0.00412975148421822,0.112332469909241,0.00219560892085968,0.000909049615660655,0.0225052353684073,0.0908367632544415,0.00378787805715409,0.0497192716791606,0.00391952518132878,0.0980338791205695,0.0171277273303716,0.0706838530210711,0.0469527963916071,0.0972748873846757,0.0169573716001714,0.00555272377233737,0.00404866005276073,0.0196329737774824,0.00512301009916331,0.0455969054311784,0.138343068419415,0.0657845061149586,0.0248633482895542,0.0120418711117889,0.0087803310708959,0.127477888397266,0.00321599504283155,0.0177270214825609,0.0105140970916177,0.0174358138395537,0.00286972899442554,0.00450218456604975,0.0159118799124735,0.0770641354578322,0.0148010280532492,0.00646297072323124,0.00516193391142994,0.0227944088770415,0.0184078362444381,0.00474385547811512,0.00839515703854359,0.0363052473435953,0.0130667563744015,0.00446681758929758,0.0219803343886634,0.074754289963618,0.00603056377963834,0.0107703799476445,0.00176900494276063,0.0726648831705948,0.0103664232104878,0.00789452334570574,0.000945804861748793,0.0864333252262476,0.00105022559588472,"ISRj1"
"istB",0.0246240858468873,0.01456400477352,0.0225404912214281,0.0226674377719992,0.0232671778931434,0.0144834812378429,0.0180107307425274,0.017041723914276,0.0225579567383001,0.0251567946891457,0.0133612989565652,0.0226445047092295,0.0290530614721465,0.0680077158092891,0.0249287506900878,0.0218733006443249,0.0142845753226257,0.0306548841682598,0.0151074040077635,0.01306728974244,0.0179052002977822,0.0243301988656972,0.0307215173198789,0.0256657316489489,0.0243225948727215,0.0469582469077308,0.0164462038944661,0.0305830465079311,0.0300552615825162,0.0142345141913451,0.0136972326603878,0.0448716383340769,0.0116757474685821,0.018908423187916,0.00727583910546545,0.0281932371664391,0.0155019312262226,0.0516368738557463,0.0585674778850218,0.0441776800028021,0.0467018938062842,0.0378051992328877,0.0179688254796035,0.02728940506875,0.0239898130598106,0.0164401860678391,0.0090165661230666,0.0274680179527825,0.0229755980777556,0.0308497247899844,0.0193197538116152,0.0470734253370042,0.0272233277573348,0.0175763105747863,0.0258448285400016,0.0248534650052035,0.0425400462349764,0.024794213729001,0.0332478076062064,0.0242018053027078,0.0287712799094756,0.0235641005781663,0.0247943624706146,0.0311187369284473,0.0290348258386676,0.0282191098692937,0.0272549904947714,0.0573490501787594,0.0288383228955496,0.032253191822499,0.0190751917074945,0.0273674666877153,0.0188102799711059,0.0227879246559174,0.022523747761592,0.0263484239026628,0.0132493737111676,0.0251918813746269,0.0286040881934967,0.0170838494723907,0.0230044610505791,0.0255946123971073,0.0201233034887396,0.0169549630568288,0.0105551826463298,0.0188846491754935,0.0277346830522483,0.0319839523233994,0.0220599113344512,0.0390585142956319,0.0318687649038117,0.0239433509899016,0.0388232262026565,0.0185656032293703,0.0195122172089617,0.0349021210943899,0.0437814248873681,0.0276539185690876,0.0428161293490636,0.028407743214156,0.0206670885990079,0.00327788574961987,0.0303458472568476,0.0273360373915104,0.0266762759686502,0.0209012065248063,0.0140954579496224,0.0185558430315106,"istB"
"integrase",0.0416783475836834,0.00477073731971846,0.0226019810222119,0.0139673862139783,0.063050519264679,0.00990954485026948,0.0066603782611835,0.0254822752187252,0.0362691393033859,0.0235043888086452,0.00810297810153515,0.032339070917305,0.0493193923528506,0.0163551023169098,0.0085615207312307,0.0151100355947662,0.0836825595430561,0.0149155236941762,0.00485216898762262,0.0220435411605169,0.0250187720502917,0.0117431656625035,0.00301669941651479,0.016117287540485,0.0265071730032107,0.0201267795094759,0.01079269478536,0.0168355940312407,0.028995439513865,0.0362230427952092,0.00884773759422856,0.0164676603958524,0.0102293244726725,0.0347657652894665,0.00341506561632822,0.0289156475986798,0.0160682359956565,0.02480636305272,0.0120876986605426,0.0172535276576806,0.0302109165238046,0.0188600747838457,0.00369229451111502,0.0250032755736126,0.0273201943883477,0.00580154787615964,0.0119814585545524,0.00889596536945568,0.0170132057905844,0.013870236913485,0.0168260693982948,0.0437914070951713,0.0234247892558959,0.0116798524093548,0.0152381000958127,0.0386363815253383,0.0153735440835144,0.00771203915016777,0.010997496483941,0.0279986344450748,0.013446155651541,0.017047723369242,0.012563257548948,0.0138185687784707,0.0347652280983113,0.0174576808327593,0.0143759551101264,0.00958481367049207,0.0138822672938594,0.0178727434052361,0.0207908682764322,0.0226119344180608,0.0126920861720374,0.0226229396316557,0.00610937361319188,0.00827621181805509,0.0154774297017666,0.01501730814177,0.00876080212684663,0.0126043288936533,0.00737313811598382,0.0196133456702628,0.0107004298599486,0.0131327894470001,0.0493808874317789,0.0308413475693488,0.0108732904986941,0.0173496743600694,0.0067884813779175,0.0196277562402007,0.00973892187904466,0.0116034896353617,0.0184032605410151,0.00793863287840862,0.0105321081079648,0.01170401416386,0.0149560228597358,0.0369712557885726,0.00867029329135826,0.013414973076202,0.0206634706003692,0.00771694549725396,0.010491501647853,0.0154661588311986,0.0511681506502041,0.0334379435084268,0.0142269046659996,0.0488624369476409,"integrase"
"istA",0.00500796121163786,0.00845015970194756,0.00920098014085808,0.0141184948495435,0.00890357168634473,0.00531870177209025,0.00369730701948117,0.0102926358577965,0.0129861791776584,0.0184790561338181,0.00445900721141648,0.0127191140756982,0.0182099589773195,0.0227893507560592,0.0101031214106415,0.00894147022530072,0.0225865118063464,0.0154842145195383,0.00418225405223724,0.00740667349369501,0.0104726435664408,0.00641387719921839,0.00729829735512857,0.0112752136553962,0.00682097662342693,0.0273097158761455,0.00341564869972793,0.0301160557511423,0.00902079199945578,0.00886042471116619,0.0010975028233948,0.0102443442770717,0.00611189791724823,0.00856621536575419,0.00198376432061824,0.0125055416881773,0.0344720877562313,0.0272321387453304,0.00752066112628201,0.0304569014874592,0.0268728634507263,0.0238222330399258,0.00912655991982519,0.00999630346950102,0.00791421022915087,0.0341017219832577,0.0031166970384075,0.0129454689717847,0.00520797515186232,0.013991502240095,0.0104705731791333,0.0295255135667694,0.0188805979648489,0.00545178576549106,0.00641272161019087,0.0145324296416867,0.0123198800624891,0.0171124283325498,0.00557587234050545,0.0142421797127126,0.00729628419452185,0.0119579442823442,0.0063926560644553,0.0272472343506691,0.0168273921206071,0.0286990524176972,0.0122453885261549,0.0230219730617674,0.00933761853302083,0.0194466492250481,0.00331941547551938,0.0176503058153853,0.0098758733715008,0.015101545321904,0.00619017236981826,0.00675199194376321,0.0101663590380807,0.00497009142057672,0.00635425390902264,0.00800236065566936,0.0108891384022202,0.012223608578359,0.0205407120554833,0.0118993066251904,0.0175577105832517,0.0146282360201339,0.00886657991305778,0.01413377976877,0.00447332076293868,0.00442609305821305,0.00700736800363153,0.00737848817157795,0.0145777718870678,0.00822947527607731,0.0106296774766386,0.0129633141978246,0.00509363879318542,0.0132108271041711,0.0240062713640248,0.00973454571000555,0.0200678073244875,0.00111515024501776,0.0137180717478695,0.00946211691483973,0.0244998167761488,0.0112004914027897,0.00777760768636348,0.00681487797975195,"istA"
"istB1",0.00660530181575962,0.00655720772057068,0.00599865604214214,0.00521476549285108,0.010148831815794,0.00746000335054212,0.000986109947829235,0.00253831644471091,0.0110243734519981,0.01183619685829,0.000997526887923781,0.00238985633933513,0.00674674408538446,0.00914188979409702,0.00228707812662444,0.0229811434869914,0.00399943526331973,0.0106995529451656,0.00314054590054901,0.00379482236924679,0.00122911230924969,0.0139113866076782,0.00109228992719992,0.0108186483715411,0.00527216432316577,0.0657583230938453,0.00310001448357151,0.00541018561633106,0.0104716353189752,0.00622391970076802,0.00202770525121778,0.0299880234336183,0.00699183772324066,0.00323834670635908,0.00724199240494356,0.00555936156732718,0.00767227105519937,0.0357642158584142,0.000723309397578749,0.033655499883965,0.00923600200719858,0.0258980015424932,0.00331403538568155,0.00470953583972027,0.0103109976485708,0.00365097096574053,0.000332311668158205,0.0161073626995733,0.0053100133924259,0.00191037826030609,0.0199920003027576,0.00220395591541526,0.00968616710387162,0.00515446788976891,0.00638855333089537,0.0109090670929357,0.00823447443519277,0.0135512041923032,0.0166318683661537,0.00159181418112971,0.0129282303721555,0.00266854844262029,0.00198362333706218,0.0199510110173997,0.0221095862156517,0.0309896679577041,0.0087209776121608,0.0411544240183783,0.00987614506812355,0.0148853807088259,0.00430213224935647,0.00508503403415215,0.00859506333773997,0.0132573110729605,0.00382516451506643,0.0028772818834951,0.00514358909175031,0.00182923986942191,0.00165212081145763,0.00212340634989424,0.00542923689564986,0.0140033822647,0.0168676592572208,0.00751367087286741,0.0200961574311791,0.0166992653518844,0.00626641892010367,0.0138760206160216,0.00430185655951562,0.00931840512836101,0.00573762633507518,0.00921792157496301,0.0168776346030439,0.00098404204874106,0.00556266879997738,0.0291661039762396,0.00348183424870734,0.00724510137207084,0.027236818152016,0.00933717120583828,0.0140851953254453,0.00172033614648851,0.0232450400184117,0.00672808181951453,0.0101701909553312,0.00239313574326491,0.00703942820437386,0.000619566093914439,"istB1"
"tniB",0.00548856857901405,0,0.000905227425726911,0.0083254685625236,0.00288366721747073,0.000433943576727516,0.00130011408863353,0.0180160418106966,0.00572704108980347,0.0174343212661069,0.000474471338401052,0.0154978668503375,0.0103810887569104,0.00676546878484491,0.00659954221911923,0.00605257499387112,0.00683083011721887,0.0076892853689567,0.00333733980563707,0.0174824221569558,0.00443615169385046,0.00105921264546292,0.00142563181233995,0.00871686566150346,0.00873584498036332,0.00437326273197626,0.00579203085458615,0.0278674910615447,0.00438047471129465,0,0.00519678286765687,0,0.00176595276662129,0.0412814907070154,0.00077970118271722,0.0115474137140373,0.00102193330766449,0.00933650052078016,0.00298017937990396,0.00656548096500229,0.00277400156545493,0.000860628544160638,0.0018181616049508,0.00673349218615483,0.00275107798712004,0.00599735063545682,0.000418867265445924,0.0109919644068721,0.000675782844735711,0.00205829690320057,0.00287160202143671,0.0105558163300491,0.000647056265254882,0.0102406862047048,0.00334973781111327,0.0184504207048197,0.00923570643508202,0.00512039620252342,0.00348223565076149,0.0087972062839962,0.010452024252479,0.00720477789513804,0.000672840520500478,0.0226654828009836,0.00627924363076215,0.00394837336027764,0.00106466552310198,0.0070208899414326,0.00469731621602495,0.0055510588201564,0.00128130891601364,0.00621977872398005,0.00302894198882346,0.00532072061299415,0.00210891870778227,0.00395535724475101,0,0.0125178477776827,0.00247513999977232,0.010954996818572,0.00341802860517965,0.00881142066689448,0,0.0238969643955965,0.0118781545512995,0.00306382888516736,0.00706786069236437,0.00291563699536379,0.00348252199685951,0.00209160942925345,0.00269059831568545,0.00498538581501614,0.0045465107266468,0.00084134108699009,0,0.0073110327223912,0.00132812214917363,0.00797424065173225,0.00161107106015271,0.0129288987696274,0.00637963709966154,0.00338085199425471,0.00245510162717092,0.00270743739332305,0.0148095939743735,0.0077129243195012,0.00485206808741761,0.0116711667306518,"tniB"
"istA3",0.00147260136674682,0.00600412130434754,0.00343142168218553,0.00221787986195062,0.00913996175122234,0.00549674306681426,0.000818395596088458,0.00183336797470466,0.00843529079509686,0.00378104632543592,0.00182815150504531,0.000612109812594985,0.0108152427804805,0.00583251543316083,0.00227928304098496,0.00533289564222535,0.0200297640539192,0.00522315076078087,0.000831394254853261,0.00137808844307589,0.00274981859358408,0.00500736096522321,0,0.00713186288330121,0.0034767474115442,0.0186798969992874,0,0.00265053424752762,0.0103741751069528,0.00219632114045111,0.00196021952746725,0.0124277930749674,0.00317227571312295,0.00186409918349239,0.00231098317762743,0.00336734223239317,0.00534767167440556,0.0107858377373818,0,0.0181365118650205,0.00648003152332933,0.0204303783242724,0.0032907366522881,0.0043517906611492,0.0054872544660469,0.00182467536288774,0.000358587474477691,0.00920046993808891,0.00410234969695115,0.00136716261322621,0.00737711266161219,0.00160900832171675,0.00969902867307854,0.00210474879303601,0.00294383465884269,0.00404148195577069,0.00474957628930047,0.0012276195077665,0.0065469925566463,0.00257993167981325,0.00753306504754825,0.00403983703619924,0.00272059880947839,0.00653292580695216,0.016414026525915,0.0183269207166471,0.00303253544232094,0.0124624269519636,0.0069469763771549,0.00583495610513072,0.00277878958166148,0.00492519628014443,0.00360764823081931,0.0109832533907961,0.00203128979829335,0.00116741862323844,0.00398535458712019,0.00103135832815353,0.0013562185765697,0.000690894556945811,0.00896949874191305,0.0133837414650194,0.00518049198517258,0.00335285957215627,0.0127124748386177,0.00780109620145234,0.000449115049721608,0.0094747768847228,0.00207656366830639,0.00531804870701419,0.00377900797580442,0.00542884414905827,0.00478021335130514,0.0039484166941812,0.00473388134151201,0.0173807746709249,0.00100592608477608,0.00335819309858171,0.0188722472940304,0.0137781301107718,0.00427725326568346,0,0.014074571899948,0.00258198593704125,0.0038779919706779,0.000606978065122303,0.000709581988999016,0.000144381140571557,"istA3"
"tniA",0.00421926625646046,0.00161088173845745,0.0014164698578732,0.00270438760173254,0.00113044687783956,0.00080878372723408,0.000505665075549263,0.0126871919149841,0.00349615339361169,0.0133789658403108,0.003765069620606,0.0178328009115359,0.00867343986643605,0.00720236765474089,0.00316783371719305,0.00602805112314724,0.0047703554383654,0.00130959451330578,0.000733043199468411,0.0138153198549379,0.00196388328753972,0.00306057594919695,0,0.00843633036377676,0.0036039005775898,0.00492132067802237,0.0066107422472928,0.0167324292140051,0.00282893790257669,0,0.00255768600181311,0.00185347596078884,0.00231462567680678,0.0443421330815669,0.00198887711525901,0.00801056546016073,0.00222320310107513,0.00675508102804818,0.000901036849555241,0.00715978461250611,0.000571281792813661,0.00114245818920377,0.00321855359878146,0.00823557470923023,0.0045538336067023,0.00681330348185939,0.00185344128052824,0.00152286214357691,0.000981375822318404,0.00119286299719737,0.00195259195675699,0.0103905030876302,0.00133654244954287,0.000966150443862116,0.000359902383986241,0.0169913286467209,0,0.000478025189958238,0.00066603223762973,0.00578501178077275,0.00605391500233566,0.00455646316829154,0.00153325039326324,0.020171217547822,0.0114194774124959,0.00688720125851667,0.00102786227045154,0.0040035956712359,0.00415747581313734,0.00251097995269638,0.00503065069760097,0.00518763250176624,0,0.00293775259656967,0.00264231557031502,0.0048309450370497,0.00129384905357937,0.00948715666527907,0.00046029236538123,0.00797503011775397,0.00100297789389199,0.006467190215011,0,0.0153839837332861,0.00455847061474635,0.0112841620795323,0.00411340977934843,0.00194001157767506,0.0054882549318223,0.00626793084495519,0,0.00316736484999906,0.00495954442923841,0.000903772757756139,0.00269737615150629,0.00414597613815052,0.00105088367515713,0.0118128913676908,0.000321790803079123,0.00736963235675978,0.00114067457082119,0.00137965457258365,0.00219478939643138,0.00106982560160872,0.00776259783583072,0.00827144807401391,0.00108445549262114,0.0119646236024829,"tniA"
"Others",0.0456468923971448,0.0122940400898686,0.00499516688289692,0.00717595505917978,0.0158665986645911,0.00331912398830314,0.00086126994164637,0.0178646348209589,0.00721651073839469,0.0217975867738499,0.00157711585247311,0.0258436336575808,0.0273260769050483,0.00520883728652655,0.0141032921007451,0.0116459593407616,0.0718864543022012,0.00326245332615815,0.00277731578280149,0.0243763881353272,0.0110862784485852,0.00191727335427083,0.00213249518484682,0.011435952618884,0.0141600995944652,0.0128660841448708,0.000499655101418583,0.0139733680039291,0.00717651530165087,0.00704878434977274,0.00375966559119556,0.0109718335916812,0.0127228928511604,0.0246493995461842,0.000639099330096093,0.0180438612588495,0.00133790711588377,0.0250958828336099,0.00208561098296145,0.00809317090606687,0.0191877665431247,0.00719665973641348,0.00892658478539265,0.0239526195435295,0.0245771536017759,0.00637805517956647,0.00366739929797244,0.0054218450636857,0.00958183054466921,0.00709479324561391,0.00221731429362759,0.04465081933897,0.00606217468185521,0.00794436547583177,0.00646553907263547,0.0344546618825798,0.0219872365274909,0.0047755828163315,0.00148335639346786,0.0257603358508902,0.0159012412637807,0.0143757521573368,0.00466715568922227,0.00266343364465227,0.017216010605148,0.0132700041103747,0.00507976894707673,0.0150897191947473,0.00815483892030744,0.00222778490426812,0.0172731053946349,0.0111197247466885,0.00763327398359559,0.00933513614080617,0.0109362313872829,0.0174499541335518,0.00607090748056804,0.0229645534324011,0.00540313371152124,0.00994824135135686,0.00996567339423016,0.00956139388380206,0.000540999749924054,0.0109383183749504,0.125442740624257,0.0124981804563344,0.00827057465964898,0.0162155630125367,0.00520648559191927,0.0473342225687697,0.00210296209817995,0.00617787223268507,0.0148069504354599,0.00941636079607411,0.00138872078219809,0.00890276348629082,0.00508582741185648,0.00500320874421756,0.00334493071621722,0.0199421290462214,0.0190771791972112,0.00151296475367679,0.00577535860944689,0.00263329707761339,0.0596318484065027,0.0154959005595319,0.0116531035201665,0.0589685226918698,"0"
